UNC_MOD0255	S71173
UW_EPIC_3091	S41358
JHU_TSS_732_2258_1	S88849
JHU_TSS_713_2223_1	S94702
UNC_MOD2466	S56759
JHU_TSS_867_2521_1	S91503
JHU_CFRD_490_10550_1	S52948
UW_EPIC_1891_1	S38355
JHU_TSS_57_1041_1	S71224
JHU_TSS_983_2742_1	S52075
JHU_TSS_912_2681_1	S75246
JHU_TSS_805_2402_1	S95953
UNC_MOD0629	S46729
JHU_TSS_299_1461_1	S48056
JHU_TSS_358_1562_1	S73363
JHU_TSS_462_1781_1	S66540
UNC_MOD1094	S80452
UNC_MOD1484	S45784
JHU_CFRD_150_10190_1	S99819
JHU_TSS_336_1525_1	S45702
UNC_MOD1306	S94393
UW_EPIC_223	S55049
UNC_MOD1784	S26382
JHU_TSS_180_116_1	S26112
UNC_MOD2743	S92097
UW_EPIC_2153	S69861
UW_EPIC_4094	S99815
JHU_TSS_671_2146_1	S74333
JHU_TSS_333_1521_1	S21929
UW_EPIC_2291_2	S37932
UW_EPIC_3305	S23466
UNC_MOD2678	S30668
UNC_MOD0635	S83864
UNC_MOD0510	S80783
JHU_CFRD_493_10553_1	S29484
UNC_MOD0546	S43840
UW_EPIC_366_1	S25189
UW_EPIC_150	S72978
UW_EPIC_3470	S74128
UNC_MOD0163	S69735
JHU_TSS_76_1077_1	S99373
UW_EPIC_4719	S55135
UW_EPIC_363	S79217
UW_EPIC_334	S31377
JHU_TSS_355_1557_1	S59765
UW_EPIC_4137	S25523
UW_EPIC_2366	S52204
UNC_MOD0490	S78138
JHU_TSS_115_91_1	S59282
JHU_TSS_772_2342_1	S35251
UW_EPIC_1688	S69282
JHU_TSS_982_2741_1	S12498
UW_EPIC_1637_1	S71072
JHU_TSS_63_1052_1	S86422
UW_EPIC_36392	S30673
UNC_MOD1622	S17381
UNC_MOD0725	S58143
UW_EPIC_10908	S71405
UNC_MOD1324	S87977
UW_EPIC_3930	S35969
JHU_CFRD_213_10267_1	S56321
UNC_MOD1181	S31883
UW_EPIC_1514	S91067
UNC_MOD0103	S45167
JHU_TSS_62_1050_1	S12138
JHU_CFRD_320_10379_1	S17499
JHU_TSS_322_1500_1	S65353
UNC_MOD0851	S97505
UNC_MOD2642	S43085
UNC_MOD1217	S70126
UNC_MOD0885	S49248
UW_EPIC_10011	S76698
UNC_MOD0040	S35618
JHU_TSS_436_1712_1	S18895
UNC_MOD2376	S71423
UNC_MOD0094	S13853
UW_EPIC_6654	S12082
UNC_MOD0627	S80646
UNC_MOD0145	S28235
JHU_TSS_741_2277_1	S36067
JHU_TSS_840_2588_1	S93968
UNC_MOD2304	S50793
JHU_CFRD_544_10604_1	S42039
UW_EPIC_34753	S86278
UW_EPIC_3884	S57074
UW_EPIC_1484	S64032
JHU_CFRD_250_10309_1	S87547
UNC_CFLD5006	S50489
JHU_TSS_457_1751_1	S80869
UW_EPIC_335	S29605
UNC_MOD0304	S66615
JHU_TSS_471_1829_1	S78038
UNC_MOD1085	S68776
UNC_MOD0112	S20522
JHU_TSS_964_2704_1	S20876
UW_EPIC_194	S21919
JHU_TSS_466_1773_1	S65597
UW_EPIC_229	S98741
UW_EPIC_35782	S67220
JHU_TSS_182_118_1	S31671
JHU_TSS_452_1762_1	S87677
UW_EPIC_1729	S65203
UNC_MOD2070	S28697
UW_EPIC_1599	S13638
JHU_BL_12_1	S80367
JHU_TSS_1005_2785_1	S48852
UW_EPIC_2354	S27098
JHU_TSS_954_2690_1	S21101
UW_EPIC_2292	S27731
JHU_TSS_659_2120_1	S25679
UNC_CFLD6486	S77390
UNC_MOD2266	S64285
JHU_CFRD_441_10501_1	S94388
JHU_TSS_535_2268_1	S12098
UNC_CFLD6851	S68018
UW_EPIC_3923	S58293
UNC_MOD1862	S25903
JHU_TSS_1048_2876_1	S52852
UNC_MOD1798	S28489
UNC_MOD0051	S43842
UNC_MOD0259	S95381
UNC_MOD1516	S72186
UNC_MOD1630	S92397
UNC_MOD1926	S93356
UNC_MOD1494	S47865
UNC_MOD2180	S84482
UNC_MOD1469	S30483
JHU_CFRD_265_10324_1	S30034
UNC_MOD0912	S35671
UNC_MOD0926	S92375
UNC_MOD1718	S15668
JHU_CFRD_279_10338_1	S44291
JHU_TSS_793_2385_1	S41503
UNC_CFLD6603	S56404
UNC_MOD1076	S45658
JHU_TSS_212_1294_1	S39265
UNC_MOD1256	S94985
UW_EPIC_340	S71182
UNC_MOD0895	S80197
JHU_TSS_904_2591_1	S48562
UNC_MOD2354	S15656
UNC_MOD1517	S19943
JHU_TSS_206_1283_1	S33400
JHU_TSS_961_2700_1	S27902
UNC_MOD1081	S76630
UNC_MOD2253	S44812
UW_EPIC_209	S83307
JHU_TSS_460_1757_1	S24955
UW_EPIC_183	S48714
JHU_TSS_899_239_1	S22745
JHU_CFRD_396_10456_1	S34039
JHU_CFRD_207_10261_1	S24998
JHU_TSS_625_2067_1	S22946
UNC_MOD2535	S86273
UW_EPIC_35823	S98434
UW_EPIC_3615	S17650
JHU_TSS_405_1705_1	S11424
UW_EPIC_440	S42502
UW_EPIC_6109_2	S63048
JHU_TSS_682_2168_1	S19671
JHU_TSS_755_2314_1	S28699
UW_EPIC_2658	S74444
JHU_TSS_46_1026_1	S55542
UW_EPIC_3304	S97460
JHU_TSS_555_1936_1	S82874
UNC_MOD2489	S71313
UW_EPIC_2469	S49322
JHU_TSS_429_168_1	S15116
UW_EPIC_13617	S57424
JHU_TSS_583_195_1	S61743
JHU_TSS_692_2199_1	S73485
JHU_TSS_617_2092_1	S12181
JHU_TSS_740_2275_1	S68032
