pid	sid	vcf_id
P17256	S75246	JHU_TSS_912_2681_1
P17260	S95953	JHU_TSS_805_2402_1
P17306	S46729	UNC_MOD0629
P17355	S48056	JHU_TSS_299_1461_1
P17360	S73363	JHU_TSS_358_1562_1
P17373	S66540	JHU_TSS_462_1781_1
P17386	S80452	UNC_MOD1094
P17400	S45784	UNC_MOD1484
P17420	S99819	JHU_CFRD_150_10190_1
P17443	S45702	JHU_TSS_336_1525_1
P17484	S94393	UNC_MOD1306
P17504	S55049	UW_EPIC_223
P17511	S26382	UNC_MOD1784
P17516	S26112	JHU_TSS_180_116_1
P17543	S92097	UNC_MOD2743
P17553	S69861	UW_EPIC_2153
P17563	S99815	UW_EPIC_4094
P17569	S74333	JHU_TSS_671_2146_1
P17580	S21929	JHU_TSS_333_1521_1
P17581	S37932	UW_EPIC_2291_2
P17583	S23466	UW_EPIC_3305
P17614	S30668	UNC_MOD2678
P17631	S83864	UNC_MOD0635
P17644	S80783	UNC_MOD0510
P17652	S43840	UNC_MOD0546
P17652	S29484	JHU_CFRD_493_10553_1
P17669	S25189	UW_EPIC_366_1
P17689	S72978	UW_EPIC_150
P17691	S74128	UW_EPIC_3470
P17694	S69735	UNC_MOD0163
P17699	S99373	JHU_TSS_76_1077_1
P17721	S55135	UW_EPIC_4719
P17741	S79217	UW_EPIC_363
P17782	S31377	UW_EPIC_334
P17793	S59765	JHU_TSS_355_1557_1
P17806	S25523	UW_EPIC_4137
P17820	S52204	UW_EPIC_2366
P17854	S78138	UNC_MOD0490
P17893	S59282	JHU_TSS_115_91_1
P17903	S35251	JHU_TSS_772_2342_1
P17984	S69282	UW_EPIC_1688
P18002	S12498	JHU_TSS_982_2741_1
P18038	S71072	UW_EPIC_1637_1
P18054	S86422	JHU_TSS_63_1052_1
P18100	S30673	UW_EPIC_36392
P18102	S17381	UNC_MOD1622
P18117	S58143	UNC_MOD0725
P18129	S71405	UW_EPIC_10908
P18157	S87977	UNC_MOD1324
P18158	S35969	UW_EPIC_3930
P18168	S56321	JHU_CFRD_213_10267_1
P18182	S31883	UNC_MOD1181
P18205	S91067	UW_EPIC_1514
P18224	S45167	UNC_MOD0103
P18230	S12138	JHU_TSS_62_1050_1
P18231	S17499	JHU_CFRD_320_10379_1
P18238	S65353	JHU_TSS_322_1500_1
P18271	S97505	UNC_MOD0851
P18277	S43085	UNC_MOD2642
P18281	S70126	UNC_MOD1217
P18284	S49248	UNC_MOD0885
P18291	S76698	UW_EPIC_10011
P18293	S35618	UNC_MOD0040
P18348	S18895	JHU_TSS_436_1712_1
P18351	S71423	UNC_MOD2376
P18366	S13853	UNC_MOD0094
P18368	S12082	UW_EPIC_6654
P18389	S80646	UNC_MOD0627
P18407	S28235	UNC_MOD0145
P18427	S36067	JHU_TSS_741_2277_1
P18450	S93968	JHU_TSS_840_2588_1
P18451	S50793	UNC_MOD2304
P18457	S42039	JHU_CFRD_544_10604_1
P18460	S86278	UW_EPIC_34753
P18473	S57074	UW_EPIC_3884
P18477	S64032	UW_EPIC_1484
P18489	S87547	JHU_CFRD_250_10309_1
P18495	S50489	UNC_CFLD5006
P18546	S80869	JHU_TSS_457_1751_1
P18565	S29605	UW_EPIC_335
P18571	S66615	UNC_MOD0304
P18574	S78038	JHU_TSS_471_1829_1
P18607	S68776	UNC_MOD1085
P18639	S20522	UNC_MOD0112
P18654	S20876	JHU_TSS_964_2704_1
P18711	S21919	UW_EPIC_194
P18774	S98741	UW_EPIC_229
P18774	S65597	JHU_TSS_466_1773_1
P18776	S67220	UW_EPIC_35782
P18792	S31671	JHU_TSS_182_118_1
P18795	S87677	JHU_TSS_452_1762_1
P18806	S65203	UW_EPIC_1729
P18807	S28697	UNC_MOD2070
P18811	S13638	UW_EPIC_1599
P18823	S80367	JHU_BL_12_1
P18824	S48852	JHU_TSS_1005_2785_1
P18825	S27098	UW_EPIC_2354
P18839	S21101	JHU_TSS_954_2690_1
P18846	S27731	UW_EPIC_2292
P18868	S25679	JHU_TSS_659_2120_1
P18872	S77390	UNC_CFLD6486
P18877	S64285	UNC_MOD2266
P18880	S94388	JHU_CFRD_441_10501_1
P18901	S12098	JHU_TSS_535_2268_1
P18921	S68018	UNC_CFLD6851
P18930	S58293	UW_EPIC_3923
P18952	S25903	UNC_MOD1862
P18969	S52852	JHU_TSS_1048_2876_1
P18973	S28489	UNC_MOD1798
P18997	S43842	UNC_MOD0051
P19005	S95381	UNC_MOD0259
P19045	S72186	UNC_MOD1516
P19052	S92397	UNC_MOD1630
P19063	S93356	UNC_MOD1926
P19069	S47865	UNC_MOD1494
P19078	S84482	UNC_MOD2180
P19118	S30483	UNC_MOD1469
P19123	S30034	JHU_CFRD_265_10324_1
P19125	S35671	UNC_MOD0912
P19142	S92375	UNC_MOD0926
P19182	S15668	UNC_MOD1718
P19202	S44291	JHU_CFRD_279_10338_1
P19203	S41503	JHU_TSS_793_2385_1
P19233	S56404	UNC_CFLD6603
P19257	S45658	UNC_MOD1076
P19284	S39265	JHU_TSS_212_1294_1
P19290	S94985	UNC_MOD1256
P19291	S71182	UW_EPIC_340
P19304	S80197	UNC_MOD0895
P19308	S48562	JHU_TSS_904_2591_1
P19312	S15656	UNC_MOD2354
P19335	S19943	UNC_MOD1517
P19342	S33400	JHU_TSS_206_1283_1
P19402	S27902	JHU_TSS_961_2700_1
P19406	S76630	UNC_MOD1081
P19429	S44812	UNC_MOD2253
P19474	S83307	UW_EPIC_209
P19483	S24955	JHU_TSS_460_1757_1
P19493	S48714	UW_EPIC_183
P19496	S22745	JHU_TSS_899_239_1
P19514	S34039	JHU_CFRD_396_10456_1
P19522	S24998	JHU_CFRD_207_10261_1
P19550	S22946	JHU_TSS_625_2067_1
P19551	S86273	UNC_MOD2535
P19551	S98434	UW_EPIC_35823
P19612	S17650	UW_EPIC_3615
P19641	S11424	JHU_TSS_405_1705_1
P19650	S42502	UW_EPIC_440
P19691	S63048	UW_EPIC_6109_2
P19693	S19671	JHU_TSS_682_2168_1
P19701	S28699	JHU_TSS_755_2314_1
P19711	S74444	UW_EPIC_2658
P19719	S55542	JHU_TSS_46_1026_1
P19736	S97460	UW_EPIC_3304
P19739	S82874	JHU_TSS_555_1936_1
